
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"95.429"	"32.267"	"13.556"	"1.209"	"2.809"	"11.464"	"188.302"	"348.177"	"247.415"	"2.007"	"0.536"	"0.05"
"1902"	"17.531"	"3.434"	"0.169"	"0.904"	"10.178"	"35.528"	"460.593"	"253.412"	"244.106"	"1.462"	"2.048"	"0.142"
"1903"	"1.71"	"2.263"	"0.638"	"1.164"	"4.698"	"40.519"	"121.28"	"478.716"	"156.589"	"61.008"	"0"	"0"
"1904"	"8.912"	"1.61"	"18.347"	"0.323"	"14.056"	"40.352"	"321.369"	"526.126"	"71.144"	"100.375"	"13.717"	"23.852"
"1905"	"21.603"	"8.326"	"26.474"	"3.655"	"1.527"	"19.221"	"323.467"	"301.767"	"180.286"	"0.646"	"0"	"0.475"
"1906"	"8.604"	"23.137"	"8.012"	"0.054"	"8.094"	"87.39"	"319.384"	"261.692"	"153.647"	"6.951"	"0.11"	"0.692"
"1907"	"0.445"	"90.236"	"12.579"	"16.229"	"2.208"	"69.459"	"207.349"	"414.517"	"24.762"	"0.699"	"0.634"	"0.468"
"1908"	"17.615"	"20.855"	"1.7"	"0.195"	"0.313"	"13.32"	"341.98"	"477.365"	"62.28"	"15.861"	"0.001"	"1.124"
"1909"	"5.79"	"6.636"	"0.168"	"24.964"	"2.315"	"314.417"	"539.475"	"158.964"	"167.804"	"0.447"	"0"	"24.647"
"1910"	"14.254"	"2.294"	"3.943"	"0.773"	"11.414"	"108.742"	"173.836"	"282.147"	"228.294"	"41.114"	"91.186"	"0"
"1911"	"26.63"	"0.163"	"59.785"	"3.669"	"0.932"	"124.512"	"77.288"	"288.763"	"324.334"	"103.106"	"59.744"	"0.002"
"1912"	"2.306"	"3.002"	"7.836"	"1.303"	"4.486"	"50.13"	"287.882"	"294.08"	"114.46"	"0.611"	"42.387"	"0.896"
"1913"	"0.209"	"55.226"	"37.462"	"0.077"	"21.112"	"155.925"	"201.52"	"278.768"	"81.507"	"7.782"	"1.305"	"19.787"
"1914"	"8.574"	"8.339"	"22.116"	"9.033"	"35.082"	"55.641"	"515.022"	"297.221"	"106.175"	"2.344"	"0"	"1.182"
"1915"	"23.851"	"57.478"	"63.947"	"6.941"	"1.523"	"75.494"	"348.063"	"335.689"	"272.364"	"83.414"	"9.515"	"3.551"
"1916"	"0.209"	"24.548"	"0"	"0.404"	"1.899"	"155.941"	"325.214"	"504.431"	"176.549"	"60.375"	"12.359"	"0"
"1917"	"6.741"	"59.208"	"29.967"	"0.463"	"43.154"	"208.207"	"281.909"	"336.416"	"236.86"	"49.905"	"0"	"9.696"
"1918"	"0.507"	"0.421"	"1.423"	"0.978"	"3.853"	"274.285"	"48.816"	"401.25"	"83.293"	"0.4"	"2.11"	"0.372"
"1919"	"75.613"	"18.45"	"4.268"	"3.907"	"6.367"	"70.331"	"304.938"	"421.175"	"152.262"	"40.852"	"2.065"	"1.454"
"1920"	"0.285"	"13.765"	"27.4"	"0"	"7.331"	"37.419"	"646.8"	"197.263"	"63.479"	"1.781"	"0"	"0"
"1921"	"68.469"	"3.665"	"0.015"	"0.147"	"0"	"142.135"	"206.217"	"359.353"	"153.247"	"4.807"	"0"	"0"
"1922"	"37.796"	"4.862"	"0"	"3.608"	"0.015"	"54.162"	"425.047"	"443.186"	"286.422"	"6.41"	"5.332"	"14.303"
"1923"	"0.994"	"24.163"	"1.147"	"0.274"	"0.235"	"25.304"	"295.199"	"495.308"	"184.917"	"35.541"	"3.078"	"4.969"
"1924"	"23.37"	"4.765"	"0.848"	"1.996"	"1.106"	"26.267"	"398.346"	"397.094"	"183.855"	"26.073"	"16.88"	"3.855"
"1925"	"1.027"	"0.796"	"1.107"	"0.124"	"27.967"	"105.301"	"722.617"	"277.335"	"389.541"	"1.206"	"39.054"	"0"
"1926"	"5.669"	"1.073"	"74.935"	"8.367"	"12.452"	"12.154"	"245.501"	"269.98"	"289.212"	"27.557"	"1.957"	"3.298"
"1927"	"16.029"	"31.226"	"36.762"	"0.379"	"2.946"	"43.906"	"506.715"	"232.545"	"171.875"	"42.362"	"63.561"	"0.972"
"1928"	"26.191"	"31.036"	"0.435"	"13.832"	"3.099"	"38.444"	"298.805"	"88.924"	"57.683"	"73.035"	"0.269"	"19.563"
"1929"	"94.321"	"4.265"	"0.744"	"1.261"	"1.066"	"60.379"	"577.287"	"403.54"	"86.707"	"54.541"	"0"	"30.402"
"1930"	"7.778"	"22.675"	"3.906"	"2.266"	"2.542"	"66.421"	"481.258"	"243.779"	"146.662"	"15.015"	"24.685"	"18.322"
"1931"	"0.5"	"31.973"	"4.361"	"0.174"	"1.984"	"79.549"	"260.834"	"273.059"	"289.216"	"91.503"	"4.829"	"0.672"
"1932"	"0.209"	"9.001"	"0.652"	"0.113"	"6.251"	"41.45"	"206.982"	"429.768"	"107.288"	"23.724"	"11.976"	"0.684"
"1933"	"5.858"	"26.891"	"11.151"	"29.486"	"33.861"	"133.214"	"180.839"	"312.545"	"102.373"	"41.168"	"0.295"	"0.367"
