
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.623"	"17.816"	"23.657"	"29.663"	"33.749"	"36.269"	"31.485"	"28.529"	"27.924"	"26.366"	"20.487"	"16.118"
"1902"	"16.961"	"18.899"	"26.566"	"30.701"	"34.239"	"34.894"	"29.589"	"28.9"	"27.97"	"25.383"	"19.493"	"15.362"
"1903"	"16.207"	"17.517"	"23.893"	"29.695"	"34.137"	"34.907"	"31.153"	"28.847"	"28.573"	"25.079"	"19.214"	"15.26"
"1904"	"16.435"	"18.231"	"24.473"	"30.753"	"33.258"	"33.253"	"28.43"	"27.753"	"27.963"	"25.4"	"19.37"	"16.703"
"1905"	"14.88"	"14.494"	"22.354"	"27.189"	"33.146"	"36.137"	"29.784"	"28.15"	"28.352"	"25.195"	"20.63"	"16.103"
"1906"	"15.537"	"17.819"	"23.316"	"30.204"	"35.116"	"33.843"	"29.555"	"28.159"	"28.261"	"25.839"	"20.791"	"16.884"
"1907"	"17.21"	"17.691"	"22.578"	"28.047"	"32.689"	"34.038"	"32.51"	"28.22"	"29.255"	"26.844"	"20.805"	"15.216"
"1908"	"14.667"	"18.758"	"24.149"	"31.986"	"35.017"	"35.262"	"29.727"	"28.378"	"28.938"	"25.558"	"19.92"	"15.574"
"1909"	"18.573"	"17.068"	"25.068"	"28.288"	"34.002"	"30.267"	"28.439"	"28.184"	"27.97"	"25.363"	"20.71"	"16.445"
"1910"	"15.218"	"18.415"	"24.507"	"30.055"	"33.654"	"32.386"	"29.857"	"28.102"	"28.462"	"25.029"	"19.141"	"15.411"
"1911"	"18.342"	"17.926"	"22.726"	"29.552"	"34.986"	"32.468"	"31.1"	"28.52"	"27.485"	"25.839"	"19.692"	"15.204"
"1912"	"16.194"	"19.709"	"23.806"	"29.685"	"33.981"	"34.849"	"29.709"	"28.173"	"27.912"	"25.414"	"19.653"	"15.327"
"1913"	"15.779"	"18.86"	"22.435"	"30.824"	"32.164"	"30.321"	"29.867"	"28.747"	"28.572"	"26.705"	"19.874"	"16.362"
"1914"	"17.345"	"19.757"	"23.803"	"29.348"	"33.011"	"33.776"	"28.976"	"28.163"	"28.404"	"25.019"	"21.102"	"16.327"
"1915"	"16.578"	"17.675"	"23.452"	"29.609"	"35.614"	"33.988"	"30.074"	"28.291"	"27.856"	"26.538"	"20.873"	"16.135"
"1916"	"15.542"	"18.411"	"25.718"	"31.053"	"34.244"	"30.205"	"29.213"	"27.789"	"28.004"	"26.173"	"19.216"	"14.65"
"1917"	"15.619"	"18.283"	"23.324"	"27.465"	"30.006"	"31.595"	"29.124"	"28.364"	"27.746"	"25.79"	"18.374"	"15.929"
"1918"	"14.688"	"18.804"	"24.735"	"28.895"	"34.257"	"30.555"	"31.675"	"28.505"	"28.73"	"25.842"	"20.272"	"15.582"
"1919"	"16.791"	"16.877"	"24.615"	"29.238"	"33.453"	"33.759"	"28.511"	"28.29"	"28.205"	"25.101"	"20.277"	"15.897"
"1920"	"15.71"	"18.301"	"24.494"	"29.922"	"31.755"	"34.104"	"28.661"	"28.397"	"29.081"	"26.899"	"21.057"	"16.124"
"1921"	"16.964"	"18.398"	"26.522"	"31.956"	"36.321"	"33.396"	"30.977"	"27.528"	"27.879"	"25.043"	"19.137"	"17.582"
"1922"	"16.085"	"19.667"	"25.165"	"30.19"	"35.163"	"32.547"	"28.468"	"27.481"	"27.633"	"24.729"	"19.963"	"15.792"
"1923"	"15.767"	"18.211"	"24.385"	"30.699"	"34.44"	"35.924"	"29.103"	"28.074"	"28.495"	"24.825"	"20.229"	"16.831"
"1924"	"15.72"	"18.705"	"26.318"	"31.106"	"33.12"	"36.136"	"28.535"	"28.082"	"27.94"	"25.975"	"20.16"	"16.041"
"1925"	"14.671"	"17.192"	"24.073"	"30.329"	"32.637"	"32.038"	"27.886"	"28.732"	"27.926"	"26.109"	"19.527"	"15.16"
"1926"	"15.705"	"19.501"	"23.529"	"26.966"	"32.156"	"35.672"	"30.742"	"28.565"	"27.542"	"25.057"	"18.589"	"15.649"
"1927"	"14.814"	"18.083"	"22.86"	"29.641"	"33.193"	"34.303"	"29.544"	"28.241"	"28.904"	"25.933"	"19.423"	"17.092"
"1928"	"15.933"	"18.808"	"24.874"	"29.309"	"34.626"	"32.674"	"29.003"	"29.071"	"29.142"	"26.605"	"21.233"	"16.802"
